W	W_start	W_end	Z_hit_1	Z_start_1	Z_end_1	Z_hit_1_evalue	Z_hit_1_length	Z_hit_1_reciprocal	Z_hit_2	Z_start_2	Z_end_2	Z_hit_2_evalue	Z_hit_2_length	Z_hit_2_reciprocal	autosome_hit	autosome_start	autosome_end	autosome_evalue	autosome_length	best_match	best_Z_gene	best_W_from_Z	reciprocal
LOCW_00021302	35463983	35471529	LOC_00019345	18417121	18505787	2.5699999999999997e-128	202	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019345	LOCW_00021302	TRUE
LOCW_00021304	35810906	35828435	LOC_00019337	17414069	17486806	2.03e-59	107	TRUE	LOC_00019065	2206174	2261761	6.94e-58	107	TRUE	LOC_00014015	360447296	360457184	2.62e-57	107	Z	LOC_00019337	LOCW_00021304	TRUE
LOCW_00021305	35840295	35971573	LOC_00019276	14493799	14564283	1.1299999999999999e-239	392	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019276	LOCW_00021305	TRUE
LOCW_00021308	36483389	36483628	LOC_00019266	14240560	14259530	9.02e-37	63	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019266	LOCW_00021308	TRUE
LOCW_00021309	36568260	36576182	LOC_00019014	412862	422502	4.069999999999999e-229	337	TRUE	LOC_00019013	385689	411297	2.83e-71	419	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019014	LOCW_00021309	TRUE
LOCW_00021310	36603557	36816002	LOC_00019225	12170220	12181021	4.25e-84	129	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019225	LOCW_00021310	TRUE
LOCW_00021312	36822275	36849384	LOC_00019243	13119232	13131111	1.1899999999999998e-106	173	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019243	LOCW_00021312	TRUE
LOCW_00021313	36603422	36855715	LOC_00019288	15279978	15298758	0	508	TRUE	LOC_00019294	15724802	15773265	8.81e-163	280	TRUE	LOC_00008554	109321538	109338706	0	1047	tie	NA	NA	FALSE
LOCW_00021314	46039816	46055189	LOC_00019262	13979853	14027199	4.86e-150	217	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019262	LOCW_00021314	TRUE
LOCW_00021315	46079671	46086278	LOC_00019278	14999174	15006183	5.91e-72	110	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019278	LOCW_00021315	TRUE
LOCW_00021317	46186319	46228830	LOC_00019282	15115910	15158570	0	2494	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019282	LOCW_00021317	TRUE
LOCW_00021318	46268056	46272510	LOC_00019284	15197702	15206193	1.81e-78	118	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019284	LOCW_00021318	TRUE
LOCW_00021319	46280890	46349028	LOC_00019285	15211535	15264131	6.569999999999999e-224	407	TRUE	LOC_00019298	15950238	15967245	6.01e-16	76	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019285	LOCW_00021319	TRUE
LOCW_00021321	47100358	47118442	LOC_00019289	15303122	15324868	6.429999999999999e-156	279	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019289	LOCW_00021321	TRUE
LOCW_00021322	47349916	47589305	LOC_00019292	15489501	15698693	8.93e-149	198	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019292	LOCW_00021322	TRUE
LOCW_00021323	47657917	47669490	LOC_00019295	15758024	15773265	1.81e-69	141	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019295	LOCW_00021323	TRUE
LOCW_00021324	47670331	47686919	LOC_00019296	15773777	15784681	3.789999999999999e-37	82	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019296	LOCW_00021324	TRUE
LOCW_00021325	47735926	47794141	LOC_00019297	15828845	15871847	1.89e-305	493	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019297	LOCW_00021325	TRUE
LOCW_00021328	47888273	47900296	LOC_00019298	15950238	15967245	1.9600000000000003e-79	178	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019298	LOCW_00021328	TRUE
LOCW_00021329	47925909	47955304	LOC_00019299	15981612	16011057	0	744	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019299	LOCW_00021329	TRUE
LOCW_00021330	47959242	48042480	LOC_00019300	16015767	16091749	2.3299999999999996e-121	162	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019300	LOCW_00021330	TRUE
LOCW_00021331	48066920	48210912	LOC_00019301	16113137	16232479	0	1412	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019301	LOCW_00021331	TRUE
LOCW_00021332	48266068	48269335	LOC_00019304	16262243	16311630	6.43e-46	89	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019304	LOCW_00021332	TRUE
LOCW_00021333	48237040	48291958	LOC_00019304	16262243	16311630	1.47e-14	36	FALSE	NA	NA	NA	NA	NA	NA	LOC_00007210	167470886	167477529	4.9799999999999994e-287	412	autosome	NA	NA	FALSE
LOCW_00021334	48508845	48592729	LOC_00019305	16321329	16372778	0	837	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019305	LOCW_00021334	TRUE
LOCW_00021335	48605524	48660472	LOC_00019306	16391396	16429126	6.85e-186	271	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019306	LOCW_00021335	TRUE
LOCW_00021336	48664609	48692232	LOC_00019307	16429381	16456583	8.759999999999998e-171	235	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019307	LOCW_00021336	TRUE
LOCW_00021337	48804954	48822089	LOC_00019350	19410849	19430146	6.31e-305	418	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019350	LOCW_00021337	TRUE
LOCW_00021338	48821985	48842483	LOC_00019351	19430327	19440337	1.9799999999999998e-129	181	TRUE	LOC_00019352	19443371	19450399	2.65e-50	115	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019351	LOCW_00021338	TRUE
LOCW_00021339	48822286	48833246	LOC_00019316	16774703	16779183	2.67e-11	28	TRUE	NA	NA	NA	NA	NA	NA	LOC_00004585	189955819	189982973	2.0600000000000002e-21	77	autosome	NA	NA	FALSE
LOCW_00021340	48852700	48860017	LOC_00019353	19458587	19466656	1.1999999999999999e-28	284	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019353	LOCW_00021340	TRUE
LOCW_00021341	48873904	48878117	LOC_00019121	5488984	5524124	2.1599999999999996e-55	95	TRUE	LOC_00019091	4102949	4136268	2.09e-6	34	FALSE	LOC_00000938	125089133	125107502	9.279999999999999e-67	106	autosome	NA	NA	FALSE
LOCW_00021342	48880063	48885233	LOC_00019354	19488269	19493940	1.58e-214	317	TRUE	LOC_00019173	8252844	8268865	1.56e-9	31	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019354	LOCW_00021342	TRUE
LOCW_00021343	48887945	48939639	LOC_00019355	19496147	19543980	0	908	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019355	LOCW_00021343	TRUE
LOCW_00021344	48939914	48955443	LOC_00019356	19544255	19559507	5.1499999999999995e-214	369	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019356	LOCW_00021344	TRUE
LOCW_00021345	48960262	48972647	LOC_00019358	19564465	19576823	0	893	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019358	LOCW_00021345	TRUE
LOCW_00021346	48974774	48985370	LOC_00019359	19578538	19589542	1.73e-274	399	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019359	LOCW_00021346	TRUE
LOCW_00021347	48987240	48998456	LOC_00019360	19588877	19603286	0	617	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019360	LOCW_00021347	TRUE
LOCW_00021348	49010777	49019005	LOC_00019361	19609384	19616174	2.11e-49	75	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019361	LOCW_00021348	TRUE
LOCW_00021349	49018942	49028002	LOC_00019362	19616748	19626973	9.82e-111	174	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019362	LOCW_00021349	TRUE
LOCW_00021350	52795699	52812124	LOC_00019364	19778255	19795108	0	1131	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019364	LOCW_00021350	TRUE
LOCW_00021351	52813446	52820774	LOC_00019365	19795568	19803794	8.65e-259	391	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019365	LOCW_00021351	TRUE
LOCW_00021352	52835284	52847030	LOC_00019367	19818527	19843474	9.52e-295	424	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019367	LOCW_00021352	TRUE
LOCW_00021353	52930363	52939851	LOC_00019368	19849728	19859493	1.52e-139	188	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019368	LOCW_00021353	TRUE
LOCW_00021354	52945098	52962059	LOC_00019369	19864834	19881719	0	729	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019369	LOCW_00021354	TRUE
LOCW_00021355	52968314	53007883	LOC_00019370	19887806	19932023	0	1469	TRUE	LOC_00019109	4990790	5012390	7.78e-28	295	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019370	LOCW_00021355	TRUE
LOCW_00021356	53088348	53098100	LOC_00019373	20019486	20028740	6.389999999999999e-160	227	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019373	LOCW_00021356	TRUE
LOCW_00021357	53098536	53139136	LOC_00019374	20029546	20069253	0	1007	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019374	LOCW_00021357	TRUE
LOCW_00021358	53170244	53224965	LOC_00019375	20103080	20159711	0	834	TRUE	LOC_00019228	12358645	12400516	1.1399999999999999e-45	265	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019375	LOCW_00021358	TRUE
LOCW_00021359	53168641	53193991	LOC_00019121	5488984	5524124	1.2800000000000001e-27	70	FALSE	LOC_00019091	4102949	4136268	6.86e-7	39	TRUE	LOC_00003070	412825619	412838742	1.42e-33	86	autosome	NA	NA	FALSE
LOCW_00021360	53228556	53254051	LOC_00019376	20162085	20181032	9.14e-92	139	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019376	LOCW_00021360	TRUE
LOCW_00021361	53254097	53258987	LOC_00019377	20181010	20185964	1.0999999999999998e-99	144	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019377	LOCW_00021361	TRUE
LOCW_00021362	53265918	53286183	LOC_00019378	20196291	20216679	0	681	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019378	LOCW_00021362	TRUE
LOCW_00021363	53468066	53515033	LOC_00019211	10285252	10314175	4.61e-91	140	TRUE	LOC_00019210	10214833	10268314	9.490000000000001e-64	164	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019211	LOCW_00021363	TRUE
LOCW_00021364	53545026	53564480	LOC_00019062	2038947	2072440	8.82e-58	183	FALSE	LOC_00019338	18128251	18144618	8.449999999999999e-52	183	FALSE	LOC_00014020	361385760	361429292	7.5e-60	184	autosome	NA	NA	FALSE
LOCW_00021365	55729006	55733596	LOC_00019062	2038947	2072440	5.03e-114	340	TRUE	LOC_00019338	18128251	18144618	8.899999999999999e-110	338	TRUE	LOC_00014020	361385760	361429292	1.7899999999999995e-119	341	autosome	NA	NA	FALSE
LOCW_00021366	56126743	56153893	LOC_00019196	9502458	9540707	3.4799999999999996e-218	317	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019196	LOCW_00021366	TRUE
LOCW_00021367	56176886	56248306	LOC_00019197	9555842	9634635	9.579999999999999e-272	568	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019197	LOCW_00021367	TRUE
LOCW_00021368	56319382	56330000	LOC_00019203	9771469	9780193	4.2499999999999995e-193	313	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019203	LOCW_00021368	TRUE
LOCW_00021369	56376984	56919472	LOC_00019206	9916003	10015715	6.86e-198	353	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019206	LOCW_00021369	TRUE
LOCW_00021370	56944412	57034220	LOC_00019207	10015781	10059978	0	570	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019207	LOCW_00021370	TRUE
LOCW_00021371	57168062	57225139	LOC_00019204	9802065	9850006	0	557	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019204	LOCW_00021371	TRUE
LOCW_00021372	57094473	57175456	LOC_00019077	3494828	3522371	1.2500000000000001e-77	133	TRUE	LOC_00019269	14319938	14323402	5.1e-77	133	TRUE	LOC_00004954	246145557	246150782	5.78e-77	133	Z	LOC_00019077	LOCW_00021372	TRUE
LOCW_00021373	57283864	57296608	LOC_00019184	8997738	9018797	6.72e-56	106	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019184	LOCW_00021373	TRUE
LOCW_00021374	57307679	57367128	LOC_00019183	8947524	8993319	0	493	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019183	LOCW_00021374	TRUE
LOCW_00021375	57587618	57842677	LOC_00019175	8339350	8517040	0	501	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019175	LOCW_00021375	TRUE
LOCW_00021376	57611763	57612837	LOC_00019302	16160178	16171057	5.27e-13	72	TRUE	NA	NA	NA	NA	NA	NA	LOC_00009122	202630345	202672578	5e-25	111	autosome	NA	NA	FALSE
LOCW_00021379	57859867	57875381	LOC_00019288	15279978	15298758	5.12e-155	244	FALSE	LOC_00019304	16262243	16311630	4.47e-15	50	FALSE	LOC_00008432	89537995	89544121	0	681	autosome	NA	NA	FALSE
LOCW_00021380	57877332	57903234	LOC_00019174	8276332	8304642	1.66e-134	184	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019174	LOCW_00021380	TRUE
LOCW_00021381	57910899	57926920	LOC_00019173	8252844	8268865	1.19e-100	223	TRUE	LOC_00019354	19488269	19493940	2.44e-10	31	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019173	LOCW_00021381	TRUE
LOCW_00021382	58185808	58285342	LOC_00019169	7967439	8054940	5.55e-294	455	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019169	LOCW_00021382	TRUE
LOCW_00021383	58660303	58772461	LOC_00019168	7636457	7741050	0	669	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019168	LOCW_00021383	TRUE
LOCW_00021385	58985565	59092507	LOC_00019083	3770631	3850622	0	893	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019083	LOCW_00021385	TRUE
LOCW_00021387	59102128	59120577	LOC_00019085	3869809	3890003	3.7099999999999995e-47	156	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019085	LOCW_00021387	TRUE
LOCW_00021389	59649811	60016586	LOC_00019076	3368876	3559036	0	1095	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019076	LOCW_00021389	TRUE
LOCW_00021390	59827778	59943295	LOC_00019288	15279978	15298758	9.109999999999999e-133	211	FALSE	LOC_00019294	15724802	15773265	3.849999999999999e-130	215	FALSE	LOC_00009879	279475665	279555064	1.1299999999999999e-135	211	autosome	NA	NA	FALSE
LOCW_00021391	59927759	59980921	LOC_00019234	12723094	12746583	9.86e-117	276	TRUE	NA	NA	NA	NA	NA	NA	LOC_00017674	86243381	86248546	0	505	autosome	NA	NA	FALSE
LOCW_00021392	60055251	60092858	LOC_00019078	3561646	3611573	0	786	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019078	LOCW_00021392	TRUE
LOCW_00021393	60280305	60360859	LOC_00019094	4211500	4243641	1.46e-138	465	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019094	LOCW_00021393	TRUE
LOCW_00021394	60384120	60454356	LOC_00019092	4141279	4180144	0	913	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019092	LOCW_00021394	TRUE
LOCW_00021395	60458234	60545471	LOC_00019090	4072386	4136353	2.6199999999999997e-243	368	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019090	LOCW_00021395	TRUE
LOCW_00021397	60634623	60685617	LOC_00019069	2377013	2415862	0	879	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019069	LOCW_00021397	TRUE
LOCW_00021399	60817840	60829408	LOC_00019051	1712777	1716981	3.2199999999999996e-152	227	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019051	LOCW_00021399	TRUE
LOCW_00021400	63389267	63419405	LOC_00019048	1597416	1626073	6.579999999999999e-55	91	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019048	LOCW_00021400	TRUE
LOCW_00021401	63474677	63491355	LOC_00019332	17214429	17221899	7.469999999999999e-193	330	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019332	LOCW_00021401	TRUE
LOCW_00021402	63515633	63526723	LOC_00019331	17181308	17192724	2.48e-35	103	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019331	LOCW_00021402	TRUE
LOCW_00021403	63540723	63579000	LOC_00019329	17142462	17181245	5.7700000000000004e-154	209	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019329	LOCW_00021403	TRUE
LOCW_00021404	63619838	63631699	LOC_00019327	17077416	17090093	6.36e-102	249	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019327	LOCW_00021404	TRUE
LOCW_00021405	63700643	63767383	LOC_00019325	16969305	17024973	0	606	TRUE	LOC_00019046	1551244	1558834	1.82e-14	110	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019325	LOCW_00021405	TRUE
LOCW_00021406	63922888	63925038	LOC_00019291	15363602	15375533	1.76e-7	21	TRUE	NA	NA	NA	NA	NA	NA	LOC_00020664	10220051	10221104	8.6e-43	137	autosome	NA	NA	FALSE
LOCW_00021407	64141192	64152881	LOC_00019336	17384830	17395010	1.02e-61	157	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019336	LOCW_00021407	TRUE
LOCW_00021408	64158301	64161979	LOC_00019335	17377156	17384823	4.42e-99	144	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019335	LOCW_00021408	TRUE
LOCW_00021409	64162772	64180696	LOC_00019334	17362695	17377072	7.529999999999999e-160	220	TRUE	LOC_00019351	19430327	19440337	7.949999999999999e-68	184	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019334	LOCW_00021409	TRUE
LOCW_00021410	64183211	64188872	LOC_00019348	19059932	19069651	1.85e-79	126	TRUE	NA	NA	NA	NA	NA	NA	LOC_00011027	45762583	45769904	6.869999999999999e-96	156	autosome	NA	NA	FALSE
LOCW_00021413	64646944	64744694	LOC_00019100	4392126	4437478	0	917	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019100	LOCW_00021413	TRUE
LOCW_00021414	64826604	64885997	LOC_00019116	5208245	5237711	1.41e-146	210	TRUE	LOC_00019300	16015767	16091749	3.19e-11	205	FALSE	LOC_00001599	193636875	193658244	3.25e-9	36	Z	LOC_00019116	LOCW_00021414	TRUE
LOCW_00021415	64900894	64995088	LOC_00019114	5114815	5190163	2.88e-305	549	TRUE	LOC_00019266	14240560	14259530	1.05e-17	114	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019114	LOCW_00021415	TRUE
LOCW_00021416	65138206	65224752	LOC_00019112	5040220	5096499	1.0900000000000001e-273	386	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019112	LOCW_00021416	TRUE
LOCW_00021417	65138064	65238277	LOC_00019111	5018999	5041956	0	787	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019111	LOCW_00021417	TRUE
LOCW_00021418	65273664	65301672	LOC_00019166	7588433	7605807	6.43e-187	287	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019166	LOCW_00021418	TRUE
LOCW_00021419	65321574	65338086	LOC_00019165	7560495	7573131	0	525	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019165	LOCW_00021419	TRUE
LOCW_00021420	65649741	65822294	LOC_00019127	5802352	5947010	0	2874	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019127	LOCW_00021420	TRUE
LOCW_00021422	65850867	65885841	LOC_00019132	6061616	6079486	1.44e-97	139	TRUE	LOC_00019351	19430327	19440337	1.46e-49	131	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019132	LOCW_00021422	TRUE
LOCW_00021423	65899366	65912189	LOC_00019131	6042244	6058538	3.7999999999999996e-168	246	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019131	LOCW_00021423	TRUE
LOCW_00021424	65915739	65941967	LOC_00019130	6014919	6041985	8.399999999999998e-243	590	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019130	LOCW_00021424	TRUE
LOCW_00021425	66021905	66069630	LOC_00019135	6128362	6154156	7.07e-68	120	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019135	LOCW_00021425	TRUE
LOCW_00021426	66021905	66082017	LOC_00019288	15279978	15298758	1.6e-147	228	FALSE	NA	NA	NA	NA	NA	NA	LOC_00001309	147715627	147739565	7.58e-295	421	autosome	NA	NA	FALSE
LOCW_00021427	66073818	66108675	LOC_00019216	10487936	10493203	1.08e-53	104	TRUE	NA	NA	NA	NA	NA	NA	LOC_00003000	401423806	401432056	2.36e-305	405	autosome	NA	NA	FALSE
LOCW_00021428	66117583	66155803	LOC_00019120	5487995	5533167	1.1599999999999999e-241	326	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019120	LOCW_00021428	TRUE
LOCW_00021429	66174665	66229072	LOC_00019122	5545493	5593502	2.91e-172	266	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019122	LOCW_00021429	TRUE
LOCW_00021430	66312619	66356447	LOC_00019140	6328384	6354180	6.759999999999999e-199	401	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019140	LOCW_00021430	TRUE
LOCW_00021431	66507961	66511312	LOC_00019143	6514206	6521767	2.59e-149	221	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019143	LOCW_00021431	TRUE
LOCW_00021433	66741195	66828165	LOC_00019157	7079638	7140619	0	1216	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019157	LOCW_00021433	TRUE
LOCW_00021435	67565737	67604746	LOC_00019161	7292177	7311605	3.2700000000000003e-276	377	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019161	LOCW_00021435	TRUE
LOCW_00021436	67608510	67683854	LOC_00019162	7309043	7389829	3.18e-300	415	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019162	LOCW_00021436	TRUE
