Z	Z_start	Z_end	W_hit_1	W_start_1	W_end_1	W_hit_1_evalue	W_hit_1_length	W_hit_1_reciprocal	W_hit_2	W_start_2	W_end_2	W_hit_2_evalue	W_hit_2_length	W_hit_2_reciprocal
LOC_00019085	3869809	3890003	LOCW_00021387	59102128	59120577	4.8799999999999997e-45	156	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019090	4072386	4136353	LOCW_00021395	60458234	60545471	6.65e-122	211	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019091	4102949	4136268	LOCW_00021359	53168641	53193991	1.67e-7	39	FALSE	LOCW_00021341	48873904	48878117	3.57e-7	34	FALSE
LOC_00019092	4141279	4180144	LOCW_00021394	60384120	60454356	0	913	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019094	4211500	4243641	LOCW_00021393	60280305	60360859	1.7299999999999998e-250	641	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019100	4392126	4437478	LOCW_00021413	64646944	64744694	0	917	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019104	4764422	4777613	LOCW_00021385	58985565	59092507	1.31e-26	79	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019105	4792756	4810201	LOCW_00021385	58985565	59092507	1.66e-24	80	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019106	4817568	4826991	LOCW_00021385	58985565	59092507	8.09e-24	79	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019107	4861191	4872883	LOCW_00021385	58985565	59092507	2.74e-25	129	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019109	4990790	5012390	LOCW_00021355	52968314	53007883	2.83e-25	296	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019111	5018999	5041956	LOCW_00021417	65138064	65238277	0	858	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019112	5040220	5096499	LOCW_00021416	65138206	65224752	0	491	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019114	5114815	5190163	LOCW_00021415	64900894	64995088	2.9400000000000003e-305	549	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019116	5208245	5237711	LOCW_00021414	64826604	64885997	1.7299999999999997e-288	402	TRUE	LOCW_00021330	47959242	48042480	5.89e-13	205	FALSE
LOC_00019120	5487995	5533167	LOCW_00021428	66117583	66155803	2.8399999999999994e-218	296	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019121	5488984	5524124	LOCW_00021341	48873904	48878117	9.87e-56	95	TRUE	LOCW_00021359	53168641	53193991	2.13e-28	70	TRUE
LOC_00019122	5545493	5593502	LOCW_00021429	66174665	66229072	0	984	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019127	5802352	5947010	LOCW_00021420	65649741	65822294	0	2874	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019130	6014919	6041985	LOCW_00021424	65915739	65941967	7.339999999999999e-268	623	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019131	6042244	6058538	LOCW_00021423	65899366	65912189	6.499999999999999e-168	245	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019132	6061616	6079486	LOCW_00021422	65850867	65885841	9.97e-98	139	TRUE	LOCW_00021338	48821985	48842483	3.16e-56	207	FALSE
LOC_00019134	6128312	6150008	LOCW_00021313	36603422	36855715	1.72e-40	76	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019135	6128362	6154156	LOCW_00021425	66021905	66069630	1.8099999999999998e-68	120	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019140	6328384	6354180	LOCW_00021430	66312619	66356447	3.0299999999999995e-279	526	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019143	6514206	6521767	LOCW_00021431	66507961	66511312	1.0499999999999999e-150	221	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019148	6676220	6681896	LOCW_00021372	57094473	57175456	1.09e-40	77	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019150	6803110	6814960	LOCW_00021304	35810906	35828435	1.01e-54	107	FALSE	LOCW_00021365	55729006	55733596	8.54e-24	78	FALSE
LOC_00019156	6964625	7059744	LOCW_00021437	67938799	67953268	7.569999999999999e-180	318	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019157	7079638	7140619	LOCW_00021433	66741195	66828165	0	1216	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019161	7292177	7311605	LOCW_00021435	67565737	67604746	1.45e-305	437	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019162	7309043	7389829	LOCW_00021436	67608510	67683854	3.72e-301	415	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019165	7560495	7573131	LOCW_00021419	65321574	65338086	1.01e-305	441	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019166	7588433	7605807	LOCW_00021418	65273664	65301672	6.45e-187	287	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019168	7636457	7741050	LOCW_00021383	58660303	58772461	1.67e-69	103	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019169	7967439	8054940	LOCW_00021382	58185808	58285342	8.06e-296	455	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019173	8252844	8268865	LOCW_00021381	57910899	57926920	1.88e-99	215	TRUE	LOCW_00021342	48880063	48885233	8.19e-11	31	FALSE
LOC_00019174	8276332	8304642	LOCW_00021380	57877332	57903234	9.07e-230	304	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019175	8339350	8517040	LOCW_00021375	57587618	57842677	3.23e-289	417	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019181	8838919	8893348	LOCW_00021313	36603422	36855715	4.96e-35	69	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019183	8947524	8993319	LOCW_00021374	57307679	57367128	1.2399999999999999e-157	220	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019184	8997738	9018797	LOCW_00021373	57283864	57296608	3.779999999999999e-55	106	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019196	9502458	9540707	LOCW_00021366	56126743	56153893	8.439999999999999e-216	314	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019197	9555842	9634635	LOCW_00021367	56176886	56248306	2.28e-272	568	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019203	9771469	9780193	LOCW_00021368	56319382	56330000	6.489999999999999e-195	313	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019204	9802065	9850006	LOCW_00021371	57168062	57225139	0	557	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019206	9916003	10015715	LOCW_00021369	56376984	56919472	7.96e-187	397	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019207	10015781	10059978	LOCW_00021370	56944412	57034220	0	578	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019209	10162651	10212851	LOCW_00021363	53468066	53515033	3.2999999999999996e-47	186	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019210	10214833	10268314	LOCW_00021363	53468066	53515033	6.100000000000001e-64	164	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019211	10285252	10314175	LOCW_00021363	53468066	53515033	2.7499999999999996e-132	197	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019212	10348023	10375821	LOCW_00021295	28417528	28460045	3.7000000000000005e-259	359	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019213	10383914	10418265	LOCW_00021295	28417528	28460045	8.119999999999999e-143	368	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019216	10487936	10493203	LOCW_00021427	66073818	66108675	1.3299999999999997e-54	100	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019218	10500950	10524739	LOCW_00021296	28486916	28519297	0	482	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019219	10540563	10637180	LOCW_00021297	28541079	28667662	4.29e-305	464	TRUE	LOCW_00021319	46280890	46349028	1.61e-6	88	FALSE
LOC_00019221	10762370	10766393	LOCW_00021414	64826604	64885997	1.51e-5	24	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019222	10780460	10807879	LOCW_00021313	36603422	36855715	3.2900000000000004e-85	142	FALSE	LOCW_00021390	59827778	59943295	4.3499999999999996e-45	74	FALSE
LOC_00019223	10780489	10808864	LOCW_00021304	35810906	35828435	1.2299999999999999e-57	107	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019224	10873438	10885435	LOCW_00021365	55729006	55733596	1.7e-97	339	FALSE	LOCW_00021304	35810906	35828435	5.77e-54	107	FALSE
LOC_00019225	12170220	12181021	LOCW_00021310	36603557	36816002	6.4e-85	145	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019228	12358645	12400516	LOCW_00021358	53170244	53224965	1.59e-44	265	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019234	12723094	12746583	LOCW_00021391	59927759	59980921	1.4299999999999999e-116	276	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019236	12800785	12907053	LOCW_00021300	28829645	28952962	0	606	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019239	12936385	12969804	LOCW_00021291	28130974	28190783	0	710	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019243	13119232	13131111	LOCW_00021312	36822275	36849384	1.86e-78	132	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019256	13690677	13737162	LOCW_00021298	28701973	28745390	8.08e-188	284	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019262	13979853	14027199	LOCW_00021314	46039816	46055189	1.4399999999999998e-146	217	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019264	14020251	14068138	LOCW_00021289	27932656	27979876	0	1126	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019266	14240560	14259530	LOCW_00021308	36483389	36483628	4.5900000000000004e-33	63	TRUE	LOCW_00021415	64900894	64995088	5.71e-18	114	FALSE
LOC_00019268	14306584	14312532	LOCW_00021313	36603422	36855715	8.190000000000001e-117	201	FALSE	LOCW_00021390	59827778	59943295	7.919999999999999e-83	132	FALSE
LOC_00019269	14319938	14323402	LOCW_00021372	57094473	57175456	9.22e-78	133	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019276	14493799	14564283	LOCW_00021305	35840295	35971573	4.65e-242	392	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019278	14999174	15006183	LOCW_00021315	46079671	46086278	1.63e-71	110	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019282	15115910	15158570	LOCW_00021317	46186319	46228830	0	2494	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019284	15197702	15206193	LOCW_00021318	46268056	46272510	3.5900000000000003e-79	118	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019285	15211535	15264131	LOCW_00021319	46280890	46349028	2.71e-225	407	TRUE	LOCW_00021328	47888273	47900296	4.95e-16	76	FALSE
LOC_00019288	15279978	15298758	LOCW_00021313	36603422	36855715	0	508	TRUE	LOCW_00021379	57859867	57875381	6.18e-156	244	TRUE
LOC_00019289	15303122	15324868	LOCW_00021321	47100358	47118442	1.45e-155	279	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019291	15363602	15375533	LOCW_00021406	63922888	63925038	1.65e-7	21	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019292	15489501	15698693	LOCW_00021322	47349916	47589305	2.1999999999999996e-151	200	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019293	15633262	15652059	LOCW_00021299	28682614	28759604	2.5899999999999996e-37	80	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019294	15724802	15773265	LOCW_00021313	36603422	36855715	7.829999999999999e-164	280	FALSE	LOCW_00021390	59827778	59943295	3.3899999999999996e-130	215	FALSE
LOC_00019295	15758024	15773265	LOCW_00021323	47657917	47669490	6.24e-68	141	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019296	15773777	15784681	LOCW_00021324	47670331	47686919	2.35e-66	129	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019297	15828845	15871847	LOCW_00021325	47735926	47794141	8.6e-305	493	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019298	15950238	15967245	LOCW_00021328	47888273	47900296	3.3e-80	178	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019299	15981612	16011057	LOCW_00021329	47925909	47955304	0	744	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019300	16015767	16091749	LOCW_00021330	47959242	48042480	1.9400000000000002e-305	442	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019301	16113137	16232479	LOCW_00021331	48066920	48210912	0	1412	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019302	16160178	16171057	LOCW_00021376	57611763	57612837	2.07e-15	72	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019303	16236205	16255941	LOCW_00021299	28682614	28759604	1.1599999999999999e-34	83	FALSE	LOCW_00021290	28086572	28130271	4.36e-6	24	FALSE
LOC_00019304	16262243	16311630	LOCW_00021332	48266068	48269335	1.38e-44	89	TRUE	LOCW_00021379	57859867	57875381	3.47e-15	36	FALSE
LOC_00019305	16321329	16372778	LOCW_00021334	48508845	48592729	0	837	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019306	16391396	16429126	LOCW_00021335	48605524	48660472	9.75e-188	271	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019307	16429381	16456583	LOCW_00021336	48664609	48692232	8.429999999999998e-171	235	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019316	16774703	16779183	LOCW_00021339	48822286	48833246	5.4e-12	28	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019325	16969305	17024973	LOCW_00021405	63700643	63767383	3.1e-305	487	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019327	17077416	17090093	LOCW_00021404	63619838	63631699	9.459999999999999e-104	228	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019329	17142462	17181245	LOCW_00021403	63540723	63579000	3.91e-154	209	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019330	17177340	17181230	LOCW_00021299	28682614	28759604	1e-66	118	TRUE	LOCW_00021290	28086572	28130271	8.04e-63	118	TRUE
LOC_00019331	17181308	17192724	LOCW_00021402	63515633	63526723	1.63e-39	103	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019332	17214429	17221899	LOCW_00021401	63474677	63491355	2.09e-192	330	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019334	17362695	17377072	LOCW_00021409	64162772	64180696	3.5899999999999995e-160	220	TRUE	LOCW_00021338	48821985	48842483	4.3399999999999996e-67	184	FALSE
LOC_00019335	17377156	17384823	LOCW_00021408	64158301	64161979	1.4199999999999998e-99	144	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019336	17384830	17395010	LOCW_00021407	64141192	64152881	6.0199999999999995e-25	69	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019337	17414069	17486806	LOCW_00021304	35810906	35828435	1.6399999999999998e-56	107	TRUE	LOCW_00021365	55729006	55733596	5.459999999999999e-31	328	FALSE
LOC_00019338	18128251	18144618	LOCW_00021365	55729006	55733596	5.119999999999999e-110	338	FALSE	LOCW_00021304	35810906	35828435	6.069999999999999e-55	107	FALSE
LOC_00019342	18323305	18376625	LOCW_00021292	28288063	28336153	1.86e-305	517	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019345	18417121	18505787	LOCW_00021302	35463983	35471529	2.6899999999999996e-129	202	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019346	18921008	19016605	LOCW_00021304	35810906	35828435	1.09e-58	107	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019348	19059932	19069651	LOCW_00021410	64183211	64188872	2.48e-80	126	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019350	19410849	19430146	LOCW_00021337	48804954	48822089	9.78e-305	423	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019351	19430327	19440337	LOCW_00021338	48821985	48842483	3.43e-74	108	TRUE	LOCW_00021409	64162772	64180696	2.1199999999999998e-48	105	FALSE
LOC_00019352	19443371	19450399	LOCW_00021338	48821985	48842483	8.88e-51	115	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019353	19458587	19466656	LOCW_00021340	48852700	48860017	2.0700000000000002e-29	284	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019354	19488269	19493940	LOCW_00021342	48880063	48885233	3.1999999999999996e-216	317	TRUE	LOCW_00021381	57910899	57926920	5.2400000000000005e-10	31	FALSE
LOC_00019355	19496147	19543980	LOCW_00021343	48887945	48939639	4.54e-305	642	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019356	19544255	19559507	LOCW_00021344	48939914	48955443	4.48e-241	403	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019358	19564465	19576823	LOCW_00021345	48960262	48972647	1.1999999999999998e-158	388	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019359	19578538	19589542	LOCW_00021346	48974774	48985370	8.36e-275	399	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019360	19588877	19603286	LOCW_00021347	48987240	48998456	0	647	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019361	19609384	19616174	LOCW_00021348	49010777	49019005	7.08e-50	75	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019362	19616748	19626973	LOCW_00021349	49018942	49028002	1.4299999999999997e-196	294	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019364	19778255	19795108	LOCW_00021350	52795699	52812124	0	1168	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019365	19795568	19803794	LOCW_00021351	52813446	52820774	1.18e-258	391	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019367	19818527	19843474	LOCW_00021352	52835284	52847030	2.87e-294	424	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019368	19849728	19859493	LOCW_00021353	52930363	52939851	1.54e-269	381	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019369	19864834	19881719	LOCW_00021354	52945098	52962059	0	729	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019370	19887806	19932023	LOCW_00021355	52968314	53007883	0	1469	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019373	20019486	20028740	LOCW_00021356	53088348	53098100	2.4999999999999997e-159	227	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019374	20029546	20069253	LOCW_00021357	53098536	53139136	4.6599999999999994e-200	351	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019375	20103080	20159711	LOCW_00021358	53170244	53224965	0	834	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019376	20162085	20181032	LOCW_00021360	53228556	53254051	1.25e-91	139	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019377	20181010	20185964	LOCW_00021361	53254097	53258987	3.0299999999999998e-99	144	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019378	20196291	20216679	LOCW_00021362	53265918	53286183	0	681	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019379	20260101	20265362	LOCW_00021365	55729006	55733596	3.2e-25	107	FALSE	NA	NA	NA	NA	NA	NA
