W	W_start	W_end	Z_hit_1	Z_start_1	Z_end_1	Z_hit_1_evalue	Z_hit_1_length	Z_hit_1_reciprocal	Z_hit_2	Z_start_2	Z_end_2	Z_hit_2_evalue	Z_hit_2_length	Z_hit_2_reciprocal	best_Z_gene	best_W_from_Z	reciprocal
LOC_00008416	7564795	7565907	LOCZ_00020637	5397408	5398520	2.0999999999999997e-267	371	TRUE	LOCZ_00002393	4387811	4388713	2.7e-117	185	FALSE	LOCZ_00020637	LOC_00008416	TRUE
LOC_00009757	1525000	1525420	LOCZ_00012321	5810333	5810692	1.72e-38	81	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00012321	LOC_00009757	TRUE
LOC_00010303	8739276	8741612	LOCZ_00020637	5397408	5398520	2.4e-259	371	FALSE	LOCZ_00002393	4387811	4388713	6.689999999999999e-143	231	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00010445	12153518	12153835	LOCZ_00002393	4387811	4388713	7.49e-57	106	FALSE	LOCZ_00008121	5220358	5220978	1.5e-4	16	FALSE	LOCZ_00002393	LOC_00000475	FALSE
LOC_00012591	3046077	3046706	LOCZ_00020637	5397408	5398520	1.17e-138	210	FALSE	LOCZ_00008121	5220358	5220978	1.3199999999999998e-61	93	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00019035	9620117	9621634	LOCZ_00019035	11197682	11199196	5.97e-114	155	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019035	LOC_00019035	TRUE
LOC_00019051	4731807	4733391	LOCZ_00019051	11819419	11823816	2.5999999999999997e-104	180	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019051	LOC_00019051	TRUE
LOC_00019069	3619746	3687730	LOCZ_00019069	7123524	7152018	0	915	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019069	LOC_00019069	TRUE
LOC_00019070	3588591	3594103	LOCZ_00019069	7123524	7152018	3.9999999999999996e-222	466	FALSE	LOCZ_00019070	7162650	7193051	1.71e-19	51	FALSE	LOCZ_00019069	LOC_00019069	FALSE
LOC_00019070	3636056	3687730	LOCZ_00019069	7123524	7152018	3.9999999999999996e-222	466	FALSE	LOCZ_00019070	7162650	7193051	1.71e-19	51	FALSE	LOCZ_00019069	LOC_00019069	FALSE
LOC_00019078	7921462	7966910	LOCZ_00019078	8119723	8144155	0	583	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019078	LOC_00019078	TRUE
LOC_00019083	7057505	7130764	LOCZ_00019083	8288369	8337804	9.479999999999998e-237	344	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019083	LOC_00019083	TRUE
LOC_00019092	8155534	8179674	LOCZ_00019092	8655871	8686099	0	856	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019092	LOC_00019092	TRUE
LOC_00019093	451724	452398	LOCZ_00019093	8688354	8709574	2.66e-18	42	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019093	LOC_00019093	TRUE
LOC_00019094	3860028	3874698	LOCZ_00019094	8714165	8743700	6.16e-139	354	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019094	LOC_00019094	TRUE
LOC_00019100	8479223	8526174	LOCZ_00019100	8908919	8968214	1.4799999999999998e-299	421	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019100	LOC_00019100	TRUE
LOC_00019111	8951721	8962308	LOCZ_00019111	9753389	9764168	0	857	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019111	LOC_00019111	TRUE
LOC_00019112	8918004	8937358	LOCZ_00019112	9707933	9747659	0	493	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019112	LOC_00019112	TRUE
LOC_00019114	9319938	9342562	LOCZ_00019114	9632075	9679046	7.53e-305	549	TRUE	LOCZ_00019266	3010566	3018771	1.3e-18	114	TRUE	LOCZ_00019114	LOC_00019114	TRUE
LOC_00019116	3288129	3355197	LOCZ_00019116	9588744	9622748	2.28e-289	402	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019116	LOC_00019116	TRUE
LOC_00019120	13750445	13774576	LOCZ_00019120	9830734	9847836	4.1999999999999993e-159	219	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019120	LOC_00019120	TRUE
LOC_00019130	9226280	9249635	LOCZ_00019130	10307567	10332478	5.1199999999999997e-284	609	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019130	LOC_00019130	TRUE
LOC_00019131	9263260	9274288	LOCZ_00019131	10341042	10351977	1.62e-69	105	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019131	LOC_00019131	TRUE
LOC_00019137	1911097	1911307	LOCZ_00019137	10489405	10521639	8.07e-35	70	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019137	LOC_00019137	TRUE
LOC_00019140	5256272	5293257	LOCZ_00019140	10591347	10618054	1.62e-132	193	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019140	LOC_00019140	TRUE
LOC_00019156	206459	283318	LOCZ_00019156	6806373	6914565	0	1335	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019156	LOC_00019156	TRUE
LOC_00019157	6382697	6501685	LOCZ_00019157	6737837	6789181	0	834	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019157	LOC_00019157	TRUE
LOC_00019160	418054	421172	LOCZ_00019160	6626437	6665774	1.37e-10	40	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019160	LOC_00019160	TRUE
LOC_00019162	3724656	3753179	LOCZ_00019162	6545233	6605304	4.4300000000000005e-259	353	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019162	LOC_00019162	TRUE
LOC_00019166	6762570	6767308	LOCZ_00019166	6419861	6430594	5.109999999999999e-31	110	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019166	LOC_00019166	TRUE
LOC_00019168	6645516	6741210	LOCZ_00019168	6307302	6398608	0	621	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019168	LOC_00019168	TRUE
LOC_00019169	6207984	6279358	LOCZ_00019169	6059496	6131798	1.3399999999999997e-299	456	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019169	LOC_00019169	TRUE
LOC_00019183	11123008	11139670	LOCZ_00019183	5669439	5693398	0	493	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019183	LOC_00019183	TRUE
LOC_00019193	4495871	4519812	LOCZ_00019193	5315793	5375086	6.84e-26	94	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019193	LOC_00019193	TRUE
LOC_00019197	9495199	9539658	LOCZ_00019197	5181787	5251773	3.3099999999999995e-202	424	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019197	LOC_00019197	TRUE
LOC_00019201	5333009	5346876	LOCZ_00019201	5110589	5132552	0	532	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019201	LOC_00019201	TRUE
LOC_00019203	5201386	5202688	LOCZ_00019203	5042526	5053329	2.0699999999999997e-267	435	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019203	LOC_00019203	TRUE
LOC_00019204	5107943	5150828	LOCZ_00019204	4987316	5017211	0	468	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019204	LOC_00019204	TRUE
LOC_00019207	4995807	5018019	LOCZ_00019207	4850835	4867436	0	543	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019207	LOC_00019207	TRUE
LOC_00019209	4854784	4936150	LOCZ_00019209	4711261	4748457	0	757	TRUE	LOCZ_00019211	4632067	4655651	3.1199999999999996e-45	207	FALSE	LOCZ_00019209	LOC_00019209	TRUE
LOC_00019211	1361297	1394611	LOCZ_00019211	4632067	4655651	9.22e-134	197	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019211	LOC_00019211	TRUE
LOC_00019218	1464919	1476616	LOCZ_00019218	4463592	4481505	3.36e-41	90	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019218	LOC_00019218	TRUE
LOC_00019219	1495610	1590606	LOCZ_00019219	4387291	4445365	7.6e-51	78	TRUE	LOCZ_00019285	2653250	2695269	9.8e-8	55	FALSE	LOCZ_00019219	LOC_00019219	TRUE
LOC_00019231	1492859	1493462	LOCZ_00019231	3560084	3571451	1.37e-63	105	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019231	LOC_00019231	TRUE
LOC_00019233	5414163	5432411	LOCZ_00019233	3601154	3609213	7.29e-219	382	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019233	LOC_00019233	TRUE
LOC_00019236	5483120	5556776	LOCZ_00019236	3612432	3621252	4.8e-186	318	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019236	LOC_00019236	TRUE
LOC_00019246	9460693	9468584	LOCZ_00019246	3770416	3771328	3.889999999999999e-119	224	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019246	LOC_00019246	TRUE
LOC_00019256	12685695	12697802	LOCZ_00019256	3337655	3343795	2.7199999999999993e-176	247	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019256	LOC_00019256	TRUE
LOC_00019264	2984406	3025023	LOCZ_00019264	3123317	3150073	0	689	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019264	LOC_00019264	TRUE
LOC_00019267	2638470	2660329	LOCZ_00019267	2972134	2986463	3.479999999999999e-176	337	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019267	LOC_00019267	TRUE
LOC_00019274	2741391	2755525	LOCZ_00019274	2878241	2891902	1.4599999999999997e-182	247	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019274	LOC_00019274	TRUE
LOC_00019277	2689071	2690584	LOCZ_00019277	2812976	2814425	1.54e-82	149	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019277	LOC_00019277	TRUE
LOC_00019282	7222191	7269933	LOCZ_00019282	2719588	2747149	0	804	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019282	LOC_00019282	TRUE
LOC_00019284	7203535	7208176	LOCZ_00019284	2697689	2700943	6.399999999999999e-107	161	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019284	LOC_00019284	TRUE
LOC_00019285	704786	778049	LOCZ_00019285	2653250	2695269	5.609999999999999e-231	409	TRUE	LOCZ_00019219	4387291	4445365	3.08e-7	77	FALSE	LOCZ_00019285	LOC_00019285	TRUE
LOC_00019299	2505936	2524472	LOCZ_00019299	2216920	2233382	0	754	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019299	LOC_00019299	TRUE
LOC_00019300	2427207	2497351	LOCZ_00019116	9588744	9622748	2.9099999999999998e-11	108	FALSE	NA	NA	NA	NA	NA	NA	LOCZ_00019116	LOC_00019116	FALSE
LOC_00019301	2282129	2355742	LOCZ_00019301	2089166	2126085	3.09e-78	504	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019301	LOC_00019301	TRUE
LOC_00019305	2177230	2241698	LOCZ_00019305	1994743	2028272	0	861	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019305	LOC_00019305	TRUE
LOC_00019306	2262141	2267407	LOCZ_00019306	1962954	1981145	6.19e-49	92	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019306	LOC_00019306	TRUE
LOC_00019322	5638549	5646900	LOCZ_00019322	1691403	1733316	4.1799999999999995e-52	152	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019322	LOC_00019322	TRUE
LOC_00019323	5618167	5628404	LOCZ_00019323	1680448	1686369	1.1899999999999999e-48	76	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019323	LOC_00019323	TRUE
LOC_00019325	11655802	11674993	LOCZ_00019325	1646786	1673386	6.67e-142	245	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019325	LOC_00019325	TRUE
LOC_00019329	11215591	11245963	LOCZ_00019329	1557638	1574569	5.1e-146	209	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019329	LOC_00019329	TRUE
LOC_00019334	9390849	9408553	LOCZ_00019334	1405230	1413386	5.5199999999999994e-160	220	TRUE	LOCZ_00019132	10357669	10377203	4.9599999999999994e-48	202	TRUE	LOCZ_00019334	LOC_00019334	TRUE
LOC_00019343	4662991	4663903	LOCZ_00019343	406918	407450	0	727	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019343	LOC_00019343	TRUE
LOC_00019378	171216	179051	LOCZ_00019378	345031	366436	6.03e-21	38	TRUE	NA	NA	NA	NA	NA	NA	LOCZ_00019378	LOC_00019378	TRUE
LOC_00019555	4928359	4928682	LOCZ_00002393	4387811	4388713	1.06e-62	106	FALSE	NA	NA	NA	NA	NA	NA	LOCZ_00002393	LOC_00000475	FALSE
LOC_00020998	7184033	7185838	LOCZ_00020637	5397408	5398520	8.019999999999999e-243	336	FALSE	LOCZ_00002393	4387811	4388713	6.019999999999999e-89	150	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00020998	4134481	4136291	LOCZ_00020637	5397408	5398520	8.019999999999999e-243	336	FALSE	LOCZ_00002393	4387811	4388713	6.019999999999999e-89	150	FALSE	LOCZ_00020637	LOC_00008416	FALSE
