Z	Z_start	Z_end	W_hit_1	W_start_1	W_end_1	W_hit_1_evalue	W_hit_1_length	W_hit_1_reciprocal	W_hit_2	W_start_2	W_end_2	W_hit_2_evalue	W_hit_2_length	W_hit_2_reciprocal
LOCZ_00019112	9707933	9747659	LOC_00019112	8918004	8937358	0	502	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019114	9632075	9679046	LOC_00019114	9319938	9342562	2.19e-305	549	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019116	9588744	9622748	LOC_00019116	3288129	3355197	2.78e-289	402	TRUE	LOC_00019300	2427207	2497351	4.9e-12	205	TRUE
LOCZ_00019120	9830734	9847836	LOC_00019120	13750445	13774576	1.7899999999999998e-159	219	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019130	10307567	10332478	LOC_00019130	9226280	9249635	2.77e-50	143	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019131	10341042	10351977	LOC_00019131	9263260	9274288	6.88e-181	245	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019132	10357669	10377203	LOC_00019334	9390849	9408553	7.4e-49	204	FALSE	NA	NA	NA	NA	NA	NA
LOCZ_00019137	10489405	10521639	LOC_00019137	1911097	1911307	4.0299999999999997e-35	70	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019140	10591347	10618054	LOC_00019140	5256272	5293257	2.2399999999999996e-130	193	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019156	6806373	6914565	LOC_00019156	206459	283318	0	1385	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019157	6737837	6789181	LOC_00019157	6382697	6501685	3.889999999999999e-243	570	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019160	6626437	6665774	LOC_00019160	418054	421172	4.03e-11	40	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019162	6545233	6605304	LOC_00019162	3724656	3753179	2.22e-259	353	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019166	6419861	6430594	LOC_00019166	6762570	6767308	2.9699999999999998e-30	110	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019168	6307302	6398608	LOC_00019168	6645516	6741210	2.48e-64	103	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019169	6059496	6131798	LOC_00019169	6207984	6279358	4.02e-300	456	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019183	5669439	5693398	LOC_00019183	11123008	11139670	0	493	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019193	5315793	5375086	LOC_00019193	4495871	4519812	2.08e-20	51	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019197	5181787	5251773	LOC_00019197	9495199	9539658	1.18e-204	424	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019201	5110589	5132552	LOC_00019201	5333009	5346876	0	530	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019203	5042526	5053329	LOC_00019203	5201386	5202688	6.36e-264	435	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019204	4987316	5017211	LOC_00019204	5107943	5150828	0	555	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019207	4850835	4867436	LOC_00019207	4995807	5018019	1.22e-251	364	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019209	4711261	4748457	LOC_00019209	4854784	4936150	0	757	TRUE	LOC_00019211	1361297	1394611	5.73e-47	186	FALSE
LOCZ_00019211	4632067	4655651	LOC_00019211	1361297	1394611	1.6199999999999997e-121	182	TRUE	LOC_00019209	4854784	4936150	9.78e-32	141	FALSE
LOCZ_00019218	4463592	4481505	LOC_00019218	1464919	1476616	5.04e-38	90	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019219	4387291	4445365	LOC_00019219	1495610	1590606	1.9599999999999995e-215	375	TRUE	LOC_00019285	704786	778049	5.63e-9	105	FALSE
LOCZ_00019231	3560084	3571451	LOC_00019231	1492859	1493462	2.87e-64	105	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019233	3601154	3609213	LOC_00019233	5414163	5432411	4.459999999999999e-134	187	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019236	3612432	3621252	LOC_00019236	5483120	5556776	1.6e-186	318	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019246	3770416	3771328	LOC_00019246	9460693	9468584	1.8599999999999998e-118	224	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019256	3337655	3343795	LOC_00019256	12685695	12697802	1.8699999999999994e-176	247	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019264	3123317	3150073	LOC_00019264	2984406	3025023	0	689	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019266	3010566	3018771	LOC_00019114	9319938	9342562	2.59e-19	114	FALSE	NA	NA	NA	NA	NA	NA
LOCZ_00019267	2972134	2986463	LOC_00019267	2638470	2660329	1.9999999999999998e-174	327	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019274	2878241	2891902	LOC_00019274	2741391	2755525	2.5299999999999996e-182	247	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019277	2812976	2814425	LOC_00019277	2689071	2690584	2.22e-83	149	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019282	2719588	2747149	LOC_00019282	7222191	7269933	0	804	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019284	2697689	2700943	LOC_00019284	7203535	7208176	7.479999999999998e-107	161	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019285	2653250	2695269	LOC_00019285	704786	778049	7.14e-233	409	TRUE	LOC_00019219	1495610	1590606	3.92e-9	112	FALSE
LOCZ_00019299	2216920	2233382	LOC_00019299	2505936	2524472	0	753	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019301	2089166	2126085	LOC_00019301	2282129	2355742	8e-5	16	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019305	1994743	2028272	LOC_00019305	2177230	2241698	0	853	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019306	1962954	1981145	LOC_00019306	2262141	2267407	6.54e-49	92	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019322	1691403	1733316	LOC_00019322	5638549	5646900	4.46e-50	114	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019323	1680448	1686369	LOC_00019323	5618167	5628404	1.3699999999999998e-47	80	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019325	1646786	1673386	LOC_00019325	11655802	11674993	5.51e-141	245	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019329	1557638	1574569	LOC_00019329	11215591	11245963	7.57e-147	209	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019334	1405230	1413386	LOC_00019334	9390849	9408553	2.3499999999999996e-160	220	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019343	406918	407450	LOC_00019343	4662991	4663903	0	727	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019378	345031	366436	LOC_00019378	171216	179051	1.22e-36	67	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00020637	5397408	5398520	LOC_00008416	7564795	7565907	1.7999999999999998e-267	371	TRUE	LOC_00010303	8739276	8741612	4.8599999999999996e-260	371	TRUE
