W	W_name	W_start	W_end	Z	Z_name	Z_start	Z_end
LOC_00019284	Rps15: Small ribosomal subunit protein uS19	7203535	7208176	LOCZ_00019284	Rps15: Small ribosomal subunit protein uS19	2697689	2700943
LOC_00019285	Dazap1: DAZ-associated protein 1	704786	778049	LOCZ_00019285	Dazap1: DAZ-associated protein 1	2653250	2695269
LOC_00019299	Cbarp: Voltage-dependent calcium channel beta subunit-associated regulatory protein	2505936	2524472	LOCZ_00019299	Cbarp: Voltage-dependent calcium channel beta subunit-associated regulatory protein	2216920	2233382
LOC_00019301	SBNO2: Protein strawberry notch homolog 2	2282129	2355742	LOCZ_00019301	SBNO2: Protein strawberry notch homolog 2	2089166	2126085
LOC_00019305	HCN2: Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	2177230	2241698	LOCZ_00019305	HCN2: Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	1994743	2028272
LOC_00019306	BSG: Basigin	2262141	2267407	LOCZ_00019306	BSG: Basigin	1962954	1981145
LOC_00019322	ANO8: Anoctamin-8	5638549	5646900	LOCZ_00019322	ANO8: Anoctamin-8	1691403	1733316
LOC_00019323	DDA1: DET1- and DDB1-associated protein 1	5618167	5628404	LOCZ_00019323	DDA1: DET1- and DDB1-associated protein 1	1680448	1686369
LOC_00019325	ELL: RNA polymerase II elongation factor ELL	11655802	11674993	LOCZ_00019325	ELL: RNA polymerase II elongation factor ELL	1646786	1673386
LOC_00019329	PGPEP1: Pyroglutamyl-peptidase 1	11215591	11245963	LOCZ_00019329	PGPEP1: Pyroglutamyl-peptidase 1	1557638	1574569
LOC_00019334	RAB3A: Ras-related protein Rab-3A	9390849	9408553	LOCZ_00019334	RAB3A: Ras-related protein Rab-3A	1405230	1413386
LOC_00019343	NA	4662991	4663903	LOCZ_00019343	NA	406918	407450
LOC_00019378	LONP1: Lon protease homolog, mitochondrial	171216	179051	LOCZ_00019378	LONP1: Lon protease homolog, mitochondrial	345031	366436
