pair	dN	dS	omega
LOCW_00021404__LOC_00019327	0.0895	0.2096	0.4271
LOCW_00021405__LOC_00019325	0.0296	0.1616	0.1835
LOCW_00021407__LOC_00019336	0.1488	0.1608	0.9258
LOCW_00021408__LOC_00019335	0.0662	0.2721	0.2434
LOCW_00021409__LOC_00019334	0.0074	0.4095	0.0180
LOCW_00021413__LOC_00019100	0.0460	0.1869	0.2459
LOCW_00021414__LOC_00019116	0.0152	0.1066	0.1423
LOCW_00021415__LOC_00019114	0.0209	0.1332	0.1571
LOCW_00021416__LOC_00019112	0.0180	0.1531	0.1176
LOCW_00021417__LOC_00019111	0.0115	0.2541	0.0452
LOCW_00021418__LOC_00019166	0.0324	0.1099	0.2952
LOCW_00021419__LOC_00019165	0.0259	0.1688	0.1535
LOCW_00021420__LOC_00019127	0.0300	0.1678	0.1790
LOCW_00021422__LOC_00019132	0.0031	0.0903	0.0348
LOCW_00021423__LOC_00019131	0.0342	0.2350	0.1454
LOCW_00021424__LOC_00019130	0.0377	0.2514	0.1502
LOCW_00021425__LOC_00019135	0.0571	0.1876	0.3046
LOCW_00021428__LOC_00019120	0.0030	0.0776	0.0383
LOCW_00021429__LOC_00019122	0.0485	0.1998	0.2426
LOCW_00021430__LOC_00019140	0.0230	0.1527	0.1503
LOCW_00021431__LOC_00019143	0.0269	0.1636	0.1645
LOCW_00021433__LOC_00019157	0.0179	0.1146	0.1564
LOCW_00021435__LOC_00019161	0.0500	0.2338	0.2140
LOCW_00021436__LOC_00019162	0.0107	0.0901	0.1184
