Heloderma	Furcifer
LOC_00019264	rna-QN063_020276-R1, rna-QN063_020276-R2
LOC_00019206	rna-QN063_020121-R2, rna-QN063_020121-R1, rna-QN063_020121-R3
LOC_00019076	rna-QN063_016666-R7, rna-QN063_016666-R6
LOC_00019111	rna-QN063_000250-R1
LOC_00019306	rna-QN063_019266-R1
LOC_00019140	rna-QN063_019256-R2, rna-QN063_019256-R1, rna-QN063_019256-R3
LOC_00019329	rna-QN063_019687-R1
LOC_00019353	rna-QN063_019270-R1
LOC_00019120	rna-QN063_019525-R2, rna-QN063_019525-R1
LOC_00019114	rna-QN063_019725-R1
LOC_00019175	rna-QN063_020105-R6
LOC_00019127	rna-QN063_019346-R3, rna-QN063_019346-R2, rna-QN063_019346-R1
LOC_00019278	rna-QN063_020275-R2, rna-QN063_020275-R3, rna-QN063_020275-R4, rna-QN063_020275-R1
LOC_00019364	rna-QN063_019586-R1, rna-QN063_019586-R2
LOC_00019100	rna-QN063_020456-R1
LOC_00019262	rna-QN063_020018-R1, rna-QN063_000132-R1
LOC_00019285	rna-QN063_019684-R2, rna-QN063_019684-R1
LOC_00019296	rna-QN063_019734-R1
LOC_00019373	rna-QN063_000070-R2, rna-QN063_000070-R1
LOC_00019083	rna-QN063_000058-R1
LOC_00019174	rna-QN063_019526-R1
LOC_00019325	rna-QN063_019354-R1
LOC_00019367	rna-QN063_019686-R1, rna-QN063_019686-R2
LOC_00019197	rna-QN063_019591-R1, rna-QN063_019591-R2
LOC_00019162	rna-QN063_020463-R6
LOC_00019284	rna-QN063_019782-R1
LOC_00019335	rna-QN063_020125-R1
LOC_00019378	rna-QN063_020123-R1
LOC_00019282	rna-QN063_020197-R1
LOC_00019132	rna-QN063_000052-R1
LOC_00019196	rna-QN063_019159-R1
LOC_00019292	rna-QN063_019736-R5, rna-QN063_019736-R3, rna-QN063_019736-R1, rna-QN063_019736-R2, rna-QN063_019736-R4
LOC_00019360	rna-QN063_000317-R1
LOC_00019135	rna-QN063_000050-R1, rna-QN063_000050-R3, rna-QN063_000050-R2
LOC_00019203	rna-QN063_019090-R1, rna-QN063_019090-R2
LOC_00019331	rna-QN063_019091-R1
LOC_00019212	rna-QN063_020164-R1
LOC_00019204	rna-QN063_000263-R1
LOC_00019375	rna-QN063_020278-R1
LOC_00019368	rna-QN063_019585-R1
LOC_00019362	rna-QN063_019740-R1
LOC_00019295	rna-QN063_019735-R1
LOC_00019299	rna-QN063_019779-R1
LOC_00019307	rna-QN063_000262-R1
LOC_00019361	rna-QN063_019741-R1
LOC_00019116	rna-QN063_020261-R1
LOC_00019175	rna-QN063_020105-R9, rna-QN063_020105-R10
LOC_00019285	rna-QN063_019684-R3
LOC_00019305	rna-QN063_019267-R1
LOC_00019327	rna-QN063_019472-R1
LOC_00019369	rna-QN063_019535-R1
LOC_00019356	rna-QN063_019870-R2, rna-QN063_019870-R1
LOC_00019143	rna-QN063_019404-R1
LOC_00019169	rna-QN063_000110-R1
LOC_00019332	rna-QN063_020466-R1
LOC_00019334	rna-QN063_019909-R1
LOC_00019359	rna-QN063_019272-R1
LOC_00019354	rna-QN063_019158-R1
LOC_00019225	rna-QN063_019674-R1
LOC_00019350	rna-QN063_019867-R1
LOC_00019165	rna-QN063_000044-R1
LOC_00019130	rna-QN063_000053-R1
LOC_00019173	rna-QN063_020156-R1
