Heloderma	Thamnophis
LOC_00019368	rna-XM_032238160.1
LOC_00019362	rna-XM_032227380.1
LOC_00019295	rna-XM_032221047.1
LOC_00019299	rna-XM_032214399.1
LOC_00019307	rna-XM_032224049.1
LOC_00019361	rna-XM_032238096.1
LOC_00019116	rna-XM_032236085.1
LOC_00019175	rna-XM_032222306.1
LOC_00019285	rna-XM_032219933.1
LOC_00019305	rna-XM_032214422.1
LOC_00019327	rna-XM_032238994.1
LOC_00019369	rna-XM_032238197.1
LOC_00019356	rna-XM_032238048.1
LOC_00019204	rna-XM_032238859.1
LOC_00019169	rna-XM_032224180.1
LOC_00019285	rna-XM_032219852.1
LOC_00019332	rna-XM_032238661.1
LOC_00019334	rna-XM_032238641.1
LOC_00019359	rna-XM_032238058.1
LOC_00019354	rna-XM_032237876.1
LOC_00019225	rna-XM_032211750.1
LOC_00019350	rna-XM_032237793.1
LOC_00019165	rna-XM_032208681.1
LOC_00019173	rna-XM_032233788.1
LOC_00019351	rna-XM_032237805.1
LOC_00019365	rna-XM_032238137.1
LOC_00019334	rna-XM_032218369.1
