Heloderma	Anolis
LOC_00019336	rna-XM_060784881.2, rna-XM_060784882.2
LOC_00019374	rna-XM_067473557.1
LOC_00019264	rna-XM_060785092.2, rna-XM_060785091.2
LOC_00019206	rna-XM_060784907.2, rna-XM_060784909.2, rna-XM_060784908.2
LOC_00019111	rna-XM_060786172.2
LOC_00019306	rna-XM_060785072.2, rna-XM_060785074.2
LOC_00019140	rna-XM_067473608.1
LOC_00019329	rna-XM_060784896.2
LOC_00019353	rna-XM_067473568.1
LOC_00019120	rna-XM_060784727.2, rna-XM_067473619.1
LOC_00019114	rna-XM_060786167.2, rna-XM_060786168.2
LOC_00019175	rna-XM_060785191.2, rna-XM_060785190.2
LOC_00019127	rna-XM_067473613.1, rna-XM_067473612.1
LOC_00019278	rna-XM_060785049.2, rna-XM_060785048.2, rna-XM_060785047.2
LOC_00019364	rna-XM_067473559.1, rna-XM_067473558.1
LOC_00019100	rna-XM_067473489.1, rna-XM_067473488.1, rna-XM_060784936.2, rna-XM_067473487.1, rna-XM_060784937.2
LOC_00019262	rna-XM_060785089.2
LOC_00019285	rna-XM_060785023.2, rna-XM_060785021.2, rna-XM_067473435.1
LOC_00019296	rna-XM_060784819.2
LOC_00019373	rna-XM_060784861.2
LOC_00019083	rna-XM_060784963.2
LOC_00019174	rna-XM_060784934.2
LOC_00019325	rna-XM_060784899.2
LOC_00019367	rna-XM_067473551.1, rna-XM_067473553.1, rna-XM_067473552.1
LOC_00019197	rna-XM_060784920.2
LOC_00019162	rna-XM_060785063.2
LOC_00019284	rna-XM_060785026.2
LOC_00019335	rna-XM_060784884.2, rna-XM_060784883.2
LOC_00019378	rna-XM_060784865.2
LOC_00019282	rna-XM_060785028.2, rna-XM_060785027.2
LOC_00019132	rna-XM_060786143.2
LOC_00019196	rna-XM_067473495.1
LOC_00019292	rna-XM_067473447.1, rna-XM_067473446.1
LOC_00019360	rna-XM_060784823.2, rna-XM_067473574.1
LOC_00019135	rna-XM_060786140.2
LOC_00019203	rna-XM_060784916.2
LOC_00019331	rna-XM_060784894.2
LOC_00019212	rna-XM_060784999.2
LOC_00019204	rna-XM_060784914.2
LOC_00019375	rna-XM_060784848.2
LOC_00019368	rna-XM_067473566.1
LOC_00019362	rna-XM_060784820.2
LOC_00019295	rna-XM_067473451.1
LOC_00019299	rna-XM_060784807.2, rna-XM_067473579.1
LOC_00019307	rna-XM_060785075.2
LOC_00019361	rna-XM_060784822.2
LOC_00019116	rna-XM_060786165.2
LOC_00019305	rna-XM_060785071.2
LOC_00019327	rna-XM_060783901.2
LOC_00019369	rna-XM_060784849.2
LOC_00019356	rna-XM_067473571.1
LOC_00019143	rna-XM_060786184.2
LOC_00019204	rna-XM_060784915.2
LOC_00019169	rna-XM_060785751.2
LOC_00019285	rna-XM_060785025.2
LOC_00019332	rna-XM_060784893.2
LOC_00019334	rna-XM_060784885.2
LOC_00019359	rna-XM_060784824.2
LOC_00019354	rna-XM_060784835.2
LOC_00019225	rna-XM_060785145.2
LOC_00019350	rna-XM_060784840.2
LOC_00019130	rna-XM_060786148.2
LOC_00019351	rna-XM_060784841.2
