Heloderma	Podarcis
LOC_00019276	rna-XM_053372307.1, rna-XM_053372308.1, rna-XM_053372309.1, rna-XM_053372311.1, rna-XM_053372310.1, rna-XM_053372304.1, rna-XM_053372305.1, rna-XM_053372306.1
LOC_00019243	rna-XM_053372768.1, rna-XM_053372767.1
LOC_00019161	rna-XM_053372510.1, rna-XM_053372512.1, rna-XM_053372511.1
LOC_00019161	rna-XM_053372513.1
LOC_00019256	rna-XM_053372544.1, rna-XM_053372545.1, rna-XM_053372546.1
LOC_00019131	rna-XM_053372627.1, rna-XM_053372628.1
LOC_00019085	rna-XM_053372547.1
LOC_00019122	rna-XM_053372897.1, rna-XM_053372895.1, rna-XM_053372896.1
LOC_00019207	rna-XM_053372269.1, rna-XM_053372268.1, rna-XM_053372270.1
LOC_00019183	rna-XM_053372662.1
LOC_00019078	rna-XM_053372917.1, rna-XM_053372916.1, rna-XM_053372915.1, rna-XM_053372918.1
LOC_00019239	rna-XM_053372577.1, rna-XM_053372578.1
LOC_00019219	rna-XM_053372418.1, rna-XM_053372417.1
LOC_00019211	rna-XM_053372282.1
LOC_00019211	rna-XM_053372283.1
LOC_00019211	rna-XM_053372280.1, rna-XM_053372281.1
LOC_00019166	rna-XM_053372961.1, rna-XM_053372960.1
LOC_00019289	rna-XM_053372466.1, rna-XM_053372467.1
LOC_00019297	rna-XM_053372781.1, rna-XM_053372780.1
LOC_00019301	rna-XM_053372772.1, rna-XM_053372770.1, rna-XM_053372769.1
LOC_00019336	rna-XM_053372703.1, rna-XM_053372704.1
LOC_00019374	rna-XM_053372221.1, rna-XM_053372222.1, rna-XM_053372223.1
LOC_00019264	rna-XM_053372900.1, rna-XM_053372899.1, rna-XM_053372901.1, rna-XM_053372902.1
LOC_00019206	rna-XM_053372953.1, rna-XM_053372954.1, rna-XM_053372952.1
LOC_00019111	rna-XM_053372835.1
LOC_00019306	rna-XM_053372787.1
LOC_00019140	rna-XM_053372740.1
LOC_00019329	rna-XM_053372714.1
LOC_00019353	rna-XM_053372379.1
LOC_00019120	rna-XM_053372376.1, rna-XM_053372375.1
LOC_00019114	rna-XM_053372644.1
LOC_00019175	rna-XM_053372560.1, rna-XM_053372562.1, rna-XM_053372561.1
LOC_00019127	rna-XM_053372342.1, rna-XM_053372343.1, rna-XM_053372344.1, rna-XM_053372340.1, rna-XM_053372338.1, rna-XM_053372339.1, rna-XM_053372341.1
LOC_00019278	rna-XM_053372329.1
LOC_00019364	rna-XM_053372363.1, rna-XM_053372362.1
LOC_00019100	rna-XM_053372334.1, rna-XM_053372333.1
LOC_00019262	rna-XM_053372397.1
LOC_00019285	rna-XM_053372696.1, rna-XM_053372692.1, rna-XM_053372691.1, rna-XM_053372693.1
LOC_00019296	rna-XM_053372799.1
LOC_00019373	rna-XM_053372211.1
LOC_00019083	rna-XM_053372911.1, rna-XM_053372907.1, rna-XM_053372909.1
LOC_00019174	rna-XM_053372565.1
LOC_00019325	rna-XM_053372349.1, rna-XM_053372348.1
LOC_00019367	rna-XM_053372887.1
LOC_00019197	rna-XM_053372312.1
LOC_00019162	rna-XM_053372515.1
LOC_00019284	rna-XM_053372699.1, rna-XM_053400688.1
LOC_00019335	rna-XM_053372717.1
LOC_00019378	rna-XM_053372224.1
LOC_00019282	rna-XM_053372689.1, rna-XM_053372690.1, rna-XM_053372688.1
LOC_00019132	rna-XM_053372629.1
LOC_00019196	rna-XM_053372319.1
LOC_00019292	rna-XM_053372800.1
LOC_00019360	rna-XM_053372336.1
LOC_00019135	rna-XM_053372626.1
LOC_00019203	rna-XM_053372944.1, rna-XM_053372945.1
LOC_00019331	rna-XM_053372722.1
LOC_00019212	rna-XM_053409308.1
LOC_00019212	rna-XM_053372273.1
LOC_00019204	rna-XM_053372948.1
LOC_00019375	rna-XM_053372220.1
LOC_00019368	rna-XM_053372636.1, rna-XM_053372637.1
LOC_00019362	rna-XM_053372603.1
LOC_00019295	rna-XM_053372803.1, rna-XM_053372802.1
LOC_00019299	rna-XM_053372776.1
LOC_00019307	rna-XM_053372788.1
LOC_00019361	rna-XM_053372643.1
LOC_00019116	rna-XM_053372650.1
LOC_00019175	rna-XM_053372563.1
LOC_00019285	rna-XM_053372697.1
LOC_00019305	rna-XM_053372775.1
LOC_00019327	rna-XM_053372356.1
LOC_00019369	rna-XM_053372446.1
LOC_00019356	rna-XM_053372372.1
LOC_00019143	rna-XM_053372754.1, rna-XM_053372755.1
LOC_00019204	rna-XM_053372949.1
LOC_00019169	rna-XM_053372564.1
LOC_00019285	rna-XM_053372694.1
LOC_00019332	rna-XM_053372709.1
LOC_00019334	rna-XM_053372710.1
LOC_00019359	rna-XM_053372337.1
LOC_00019354	rna-XM_053372374.1
LOC_00019225	rna-XM_053372431.1
LOC_00019350	rna-XM_053372382.1
LOC_00019165	rna-XM_053372946.1
LOC_00019130	rna-XM_053372624.1
LOC_00019173	rna-XM_053372567.1
LOC_00019351	rna-XM_053372384.1
LOC_00019365	rna-XM_053372373.1
LOC_00019239	rna-XM_053372579.1
